"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in weight"	"kselim"	"weight"	"weightfisher"
"721"	"GO:0009161"	"ribonucleoside monophosphate metabolic p..."	345	17	16.93	721	"0.11212"	"0.31921"	"1.00000"
"722"	"GO:0044259"	"multicellular organismal macromolecule m..."	103	7	5.05	722	"0.31921"	"0.31921"	"0.24122"
"724"	"GO:0001933"	"negative regulation of protein phosphory..."	507	26	24.88	724	"0.02706"	"0.32007"	"0.95026"
"726"	"GO:0008277"	"regulation of G-protein coupled receptor..."	148	9	7.26	726	"0.32094"	"0.32094"	"0.30210"
"728"	"GO:0051049"	"regulation of transport"	1909	111	93.66	728	"0.12690"	"0.32104"	"1.00000"
"729"	"GO:0046328"	"regulation of JNK cascade"	256	15	12.56	729	"0.18145"	"0.32158"	"0.37779"
"730"	"GO:0050772"	"positive regulation of axonogenesis"	128	8	6.28	730	"0.32174"	"0.32174"	"0.29193"
"732"	"GO:0030799"	"regulation of cyclic nucleotide metaboli..."	159	8	7.8	732	"0.64869"	"0.32312"	"0.18437"
"733"	"GO:0048661"	"positive regulation of smooth muscle cel..."	114	8	5.59	733	"0.32338"	"0.32338"	"0.19642"
"735"	"GO:0009950"	"dorsal/ventral axis specification"	164	11	8.05	735	"0.32515"	"0.32515"	"0.18186"
"737"	"GO:0009056"	"catabolic process"	2351	117	115.35	737	"0.26183"	"0.32690"	"0.47896"
"739"	"GO:0048678"	"response to axon injury"	123	8	6.03	739	"0.72704"	"0.33049"	"0.63308"
"740"	"GO:0022612"	"gland morphogenesis"	419	24	20.56	740	"0.66816"	"0.33116"	"0.05505"
"741"	"GO:0007610"	"behavior"	1974	97	96.85	741	"0.97247"	"0.33130"	"0.35812"
"742"	"GO:0006639"	"acylglycerol metabolic process"	151	11	7.41	742	"0.33142"	"0.33142"	"1.00000"
"743"	"GO:1900182"	"positive regulation of protein localizat..."	214	18	10.5	743	"0.03939"	"0.33165"	"0.12646"
"744"	"GO:0010876"	"lipid localization"	725	41	35.57	744	"0.61986"	"0.33165"	"1.00000"
"745"	"GO:0002253"	"activation of immune response"	260	16	12.76	745	"0.11043"	"0.33183"	"0.45116"
"746"	"GO:0021700"	"developmental maturation"	814	43	39.94	746	"0.58215"	"0.33256"	"0.60844"
"749"	"GO:0009584"	"detection of visible light"	112	7	5.5	749	"0.33777"	"0.33777"	"0.31058"
"751"	"GO:0090257"	"regulation of muscle system process"	288	18	14.13	751	"0.45117"	"0.33874"	"0.15262"
"752"	"GO:0045446"	"endothelial cell differentiation"	123	9	6.03	752	"0.33918"	"0.33918"	"0.14969"
"753"	"GO:0060271"	"cilium assembly"	359	19	17.61	753	"0.85626"	"0.33974"	"0.17023"
"757"	"GO:0050965"	"detection of temperature stimulus involv..."	130	7	6.38	757	"0.34194"	"0.34194"	"0.45612"
"758"	"GO:0098655"	"cation transmembrane transport"	553	28	27.13	758	"0.06165"	"0.34197"	"0.58993"
"759"	"GO:0035051"	"cardiocyte differentiation"	214	20	10.5	759	"0.05516"	"0.34200"	"0.36842"
"761"	"GO:0051099"	"positive regulation of binding"	253	14	12.41	761	"0.50111"	"0.34487"	"1.00000"
"762"	"GO:0042742"	"defense response to bacterium"	441	26	21.64	762	"0.75527"	"0.34491"	"0.49719"
"764"	"GO:0045778"	"positive regulation of ossification"	127	12	6.23	764	"0.34524"	"0.34524"	"0.02180"
"765"	"GO:1902882"	"regulation of response to oxidative stre..."	129	10	6.33	765	"0.19788"	"0.34537"	"0.22108"
"770"	"GO:0007617"	"mating behavior"	285	15	13.98	770	"0.81213"	"0.34680"	"0.93331"
"773"	"GO:0042476"	"odontogenesis"	137	9	6.72	773	"0.21933"	"0.34926"	"1.00000"
"774"	"GO:0023014"	"signal transduction by protein phosphory..."	786	41	38.56	774	"0.18633"	"0.34927"	"1.00000"
"775"	"GO:0007166"	"cell surface receptor signaling pathway"	2098	121	102.94	775	"0.83741"	"0.35001"	"0.02129"
"778"	"GO:0070887"	"cellular response to chemical stimulus"	2304	132	113.04	778	"0.77330"	"0.35293"	"0.00887"
"780"	"GO:0032635"	"interleukin-6 production"	106	10	5.2	780	"0.02084"	"0.35490"	"1.00000"
"787"	"GO:0098742"	"cell-cell adhesion via plasma-membrane a..."	154	11	7.56	787	"0.35797"	"0.35797"	"0.13527"
"788"	"GO:1901655"	"cellular response to ketone"	118	9	5.79	788	"0.35848"	"0.35848"	"0.12500"
"790"	"GO:0001964"	"startle response"	104	6	5.1	790	"0.35876"	"0.35876"	"0.40252"
"791"	"GO:0007266"	"Rho protein signal transduction"	146	12	7.16	791	"0.04032"	"0.35936"	"0.52744"
"792"	"GO:0009755"	"hormone-mediated signaling pathway"	227	13	11.14	792	"0.64546"	"0.35995"	"0.04494"
"796"	"GO:0032874"	"positive regulation of stress-activated ..."	157	9	7.7	796	"0.46515"	"0.36245"	"0.60290"
"797"	"GO:0051346"	"negative regulation of hydrolase activit..."	311	18	15.26	797	"0.15771"	"0.36294"	"0.47283"
"798"	"GO:0001892"	"embryonic placenta development"	140	8	6.87	798	"0.36567"	"0.36567"	"0.38101"
"799"	"GO:0010035"	"response to inorganic substance"	599	37	29.39	799	"0.39658"	"0.36627"	"0.42187"
"800"	"GO:0051186"	"cofactor metabolic process"	475	34	23.31	800	"0.18928"	"0.36676"	"0.70636"
"801"	"GO:0006766"	"vitamin metabolic process"	104	8	5.1	801	"0.36683"	"0.36683"	"0.13782"
"802"	"GO:0010565"	"regulation of cellular ketone metabolic ..."	155	14	7.6	802	"0.01669"	"0.36712"	"0.04289"
"804"	"GO:1900180"	"regulation of protein localization to nu..."	344	23	16.88	804	"0.05967"	"0.36801"	"0.21987"
"807"	"GO:2000026"	"regulation of multicellular organismal d..."	2265	118	111.13	807	"0.52951"	"0.36912"	"0.03899"
"809"	"GO:0009308"	"amine metabolic process"	104	8	5.1	809	"0.31123"	"0.36964"	"1.00000"
"811"	"GO:1901215"	"negative regulation of neuron death"	312	22	15.31	811	"0.45372"	"0.37107"	"0.55442"
"812"	"GO:0009914"	"hormone transport"	391	36	19.18	812	"0.03477"	"0.37124"	"0.49148"
"813"	"GO:1901342"	"regulation of vasculature development"	243	14	11.92	813	"0.54961"	"0.37126"	"0.23772"
"814"	"GO:0071375"	"cellular response to peptide hormone sti..."	319	16	15.65	814	"0.42108"	"0.37170"	"0.15050"
"820"	"GO:0010648"	"negative regulation of cell communicatio..."	1469	84	72.07	820	"0.14587"	"0.37446"	"1.00000"
"823"	"GO:0002819"	"regulation of adaptive immune response"	101	5	4.96	823	"0.37657"	"0.37657"	"0.55686"
"824"	"GO:0003206"	"cardiac chamber morphogenesis"	167	11	8.19	824	"0.51600"	"0.37681"	"0.55096"
"826"	"GO:0005976"	"polysaccharide metabolic process"	146	9	7.16	826	"0.01565"	"0.37738"	"0.66815"
"827"	"GO:0040014"	"regulation of multicellular organism gro..."	592	35	29.05	827	"0.02515"	"0.37738"	"0.38250"
"828"	"GO:1903522"	"regulation of blood circulation"	249	13	12.22	828	"0.55617"	"0.37739"	"0.36703"
"829"	"GO:0009119"	"ribonucleoside metabolic process"	106	7	5.2	829	"0.37746"	"0.37746"	"0.26381"
"830"	"GO:0006732"	"coenzyme metabolic process"	384	27	18.84	830	"0.25199"	"0.37762"	"0.26373"
"832"	"GO:0071495"	"cellular response to endogenous stimulus"	1212	75	59.47	832	"0.61018"	"0.37922"	"0.69902"
"837"	"GO:0060411"	"cardiac septum morphogenesis"	102	9	5	837	"0.38340"	"0.38340"	"0.06236"
"840"	"GO:0040003"	"chitin-based cuticle development"	199	15	9.76	840	"0.38467"	"0.38467"	"0.06452"
"842"	"GO:1905330"	"regulation of morphogenesis of an epithe..."	176	9	8.64	842	"0.38654"	"0.38654"	"0.49841"
"844"	"GO:0009116"	"nucleoside metabolic process"	117	8	5.74	844	"0.29265"	"0.38760"	"0.42382"
"845"	"GO:0003382"	"epithelial cell morphogenesis"	103	6	5.05	845	"0.38802"	"0.38802"	"0.39364"
"848"	"GO:0009266"	"response to temperature stimulus"	562	36	27.57	848	"0.11319"	"0.38991"	"0.07408"
"849"	"GO:0071805"	"potassium ion transmembrane transport"	137	11	6.72	849	"0.39037"	"0.39037"	"0.07324"
"850"	"GO:0007179"	"transforming growth factor beta receptor..."	226	13	11.09	850	"0.03379"	"0.39124"	"0.22175"
"851"	"GO:0014020"	"primary neural tube formation"	157	10	7.7	851	"0.43924"	"0.39126"	"1.00000"
"852"	"GO:0006584"	"catecholamine metabolic process"	100	8	4.91	852	"0.39127"	"0.39127"	"0.11723"
"855"	"GO:0003231"	"cardiac ventricle development"	175	10	8.59	855	"0.79046"	"0.39225"	"1.00000"
"857"	"GO:0042445"	"hormone metabolic process"	311	24	15.26	857	"0.46399"	"0.39358"	"0.25052"
"858"	"GO:0001889"	"liver development"	155	10	7.6	858	"0.39386"	"0.39386"	"0.23004"
"865"	"GO:0090066"	"regulation of anatomical structure size"	839	46	41.16	865	"0.35640"	"0.39628"	"0.50306"
"866"	"GO:0032526"	"response to retinoic acid"	108	6	5.3	866	"0.39651"	"0.39651"	"0.43790"
"867"	"GO:0009582"	"detection of abiotic stimulus"	376	22	18.45	867	"0.46912"	"0.39661"	"0.17399"
"868"	"GO:0043408"	"regulation of MAPK cascade"	709	39	34.79	868	"0.20094"	"0.39678"	"0.34518"
"874"	"GO:0019220"	"regulation of phosphate metabolic proces..."	1512	85	74.18	874	"0.20124"	"0.40048"	"0.60462"
"876"	"GO:0010771"	"negative regulation of cell morphogenesi..."	156	12	7.65	876	"0.40189"	"0.40189"	"0.08146"
"880"	"GO:1901135"	"carbohydrate derivative metabolic proces..."	1142	57	56.03	880	"0.02394"	"0.40294"	"0.41939"
"881"	"GO:0030038"	"contractile actin filament bundle assemb..."	109	7	5.35	881	"0.09163"	"0.40342"	"1.00000"
"884"	"GO:0006836"	"neurotransmitter transport"	374	20	18.35	884	"0.68069"	"0.40408"	"0.09916"
"887"	"GO:0010959"	"regulation of metal ion transport"	379	19	18.6	887	"0.55286"	"0.40636"	"1.00000"
"888"	"GO:1901863"	"positive regulation of muscle tissue dev..."	133	9	6.53	888	"0.12877"	"0.40777"	"1.00000"
"889"	"GO:2000736"	"regulation of stem cell differentiation"	151	9	7.41	889	"0.40791"	"0.40791"	"0.32267"
"890"	"GO:0033135"	"regulation of peptidyl-serine phosphoryl..."	122	9	5.99	890	"0.40873"	"0.40873"	"0.14456"
"891"	"GO:0007040"	"lysosome organization"	120	8	5.89	891	"0.40948"	"0.40948"	"0.23576"
"892"	"GO:0002696"	"positive regulation of leukocyte activat..."	174	14	8.54	892	"0.08639"	"0.41011"	"0.07058"
"894"	"GO:0044264"	"cellular polysaccharide metabolic proces..."	124	8	6.08	894	"0.02053"	"0.41042"	"1.00000"
"899"	"GO:0007619"	"courtship behavior"	175	11	8.59	899	"0.75543"	"0.41412"	"0.43472"
"902"	"GO:0097581"	"lamellipodium organization"	119	7	5.84	902	"0.41529"	"0.41529"	"0.36686"
"903"	"GO:0032434"	"regulation of proteasomal ubiquitin-depe..."	184	10	9.03	903	"0.61443"	"0.41624"	"0.38062"
"904"	"GO:0032465"	"regulation of cytokinesis"	122	9	5.99	904	"0.41689"	"0.41689"	"0.14456"
"907"	"GO:0051188"	"cofactor biosynthetic process"	194	14	9.52	907	"0.10760"	"0.41820"	"0.11981"
"908"	"GO:0010634"	"positive regulation of epithelial cell m..."	131	12	6.43	908	"0.41883"	"0.41883"	"0.02704"
"910"	"GO:0001666"	"response to hypoxia"	353	19	17.32	910	"0.38182"	"0.41928"	"0.08455"
"911"	"GO:2001233"	"regulation of apoptotic signaling pathwa..."	461	30	22.62	911	"0.18344"	"0.41935"	"1.00000"
"912"	"GO:0060259"	"regulation of feeding behavior"	110	6	5.4	912	"0.42010"	"0.42010"	"0.45545"
"915"	"GO:0042886"	"amide transport"	2042	115	100.19	915	"0.37690"	"0.42132"	"0.02469"
"916"	"GO:0030431"	"sleep"	290	19	14.23	916	"0.42148"	"0.42148"	"0.12109"
"917"	"GO:0034767"	"positive regulation of ion transmembrane..."	175	11	8.59	917	"0.09279"	"0.42160"	"0.13962"
"919"	"GO:0050670"	"regulation of lymphocyte proliferation"	145	9	7.11	919	"0.42248"	"0.42248"	"0.28186"
"921"	"GO:0032984"	"macromolecular complex disassembly"	314	16	15.41	921	"0.13776"	"0.42420"	"0.73032"
"922"	"GO:0043281"	"regulation of cysteine-type endopeptidas..."	257	20	12.61	922	"0.20753"	"0.42475"	"0.14486"
"925"	"GO:0042593"	"glucose homeostasis"	277	21	13.59	925	"0.26831"	"0.42504"	"0.08670"
"926"	"GO:0098722"	"asymmetric stem cell division"	139	7	6.82	926	"0.42530"	"0.42530"	"0.52723"
"927"	"GO:0032502"	"developmental process"	6602	327	323.92	927	"0.13722"	"0.42543"	"1.00000"
"935"	"GO:0080134"	"regulation of response to stress"	1361	68	66.78	935	"0.02968"	"0.42859"	"1.00000"
"936"	"GO:0048598"	"embryonic morphogenesis"	1079	58	52.94	936	"0.13312"	"0.42876"	"0.02993"
"938"	"GO:0071902"	"positive regulation of protein serine/th..."	273	14	13.39	938	"0.66461"	"0.42976"	"0.72593"
"941"	"GO:2000027"	"regulation of organ morphogenesis"	373	20	18.3	941	"0.43122"	"0.43122"	"0.37283"
"943"	"GO:0001843"	"neural tube closure"	152	10	7.46	943	"0.43228"	"0.43228"	"0.21271"
"944"	"GO:0050709"	"negative regulation of protein secretion"	131	8	6.43	944	"0.43259"	"0.43259"	"0.31381"
"945"	"GO:0072171"	"mesonephric tubule morphogenesis"	117	6	5.74	945	"0.10047"	"0.43290"	"1.00000"
"946"	"GO:0051129"	"negative regulation of cellular componen..."	1025	54	50.29	946	"0.85521"	"0.43309"	"0.00970"
"947"	"GO:0002062"	"chondrocyte differentiation"	164	13	8.05	947	"0.43359"	"0.43359"	"0.05943"
"948"	"GO:0060359"	"response to ammonium ion"	132	9	6.48	948	"0.43518"	"0.43518"	"0.19962"
"952"	"GO:0001704"	"formation of primary germ layer"	187	16	9.17	952	"0.26359"	"0.43673"	"0.47576"
"953"	"GO:0035215"	"genital disc development"	100	6	4.91	953	"0.43677"	"0.43677"	"0.36701"
"954"	"GO:0043266"	"regulation of potassium ion transport"	126	7	6.18	954	"0.43681"	"0.43681"	"0.42378"
"956"	"GO:0050663"	"cytokine secretion"	137	7	6.72	956	"0.23470"	"0.43710"	"0.80002"
"957"	"GO:0030198"	"extracellular matrix organization"	283	17	13.89	957	"0.43723"	"0.43723"	"0.22658"
"958"	"GO:0048645"	"animal organ formation"	184	11	9.03	958	"0.43744"	"0.43744"	"0.29303"
"961"	"GO:0001578"	"microtubule bundle formation"	144	10	7.07	961	"0.73901"	"0.43944"	"0.24340"
"965"	"GO:0007423"	"sensory organ development"	1323	70	64.91	965	"0.17718"	"0.44182"	"0.41346"
"966"	"GO:0046890"	"regulation of lipid biosynthetic process"	238	17	11.68	966	"0.02848"	"0.44187"	"1.00000"
"969"	"GO:0044249"	"cellular biosynthetic process"	4303	217	211.12	969	"0.09944"	"0.44394"	"1.00000"
"970"	"GO:0030177"	"positive regulation of Wnt signaling pat..."	192	12	9.42	970	"0.11007"	"0.44449"	"0.84421"
"971"	"GO:0046887"	"positive regulation of hormone secretion"	187	19	9.17	971	"0.14439"	"0.44478"	"0.02116"
"972"	"GO:0032787"	"monocarboxylic acid metabolic process"	595	49	29.19	972	"0.40788"	"0.44619"	"0.31030"
"975"	"GO:0007601"	"visual perception"	174	13	8.54	975	"0.44716"	"0.44716"	"0.08575"
"976"	"GO:0032879"	"regulation of localization"	2479	140	121.63	976	"0.19294"	"0.44734"	"0.03868"
"977"	"GO:0009187"	"cyclic nucleotide metabolic process"	180	11	8.83	977	"0.62946"	"0.44786"	"1.00000"
"979"	"GO:0071496"	"cellular response to external stimulus"	459	30	22.52	979	"0.22816"	"0.44814"	"0.34030"
"980"	"GO:0032147"	"activation of protein kinase activity"	223	12	10.94	980	"0.35836"	"0.44962"	"0.59766"
"984"	"GO:0006952"	"defense response"	1297	77	63.64	984	"0.28364"	"0.45413"	"0.31868"
"986"	"GO:0051338"	"regulation of transferase activity"	826	48	40.53	986	"0.39589"	"0.45459"	"1.00000"
"987"	"GO:0019395"	"fatty acid oxidation"	134	10	6.57	987	"0.45487"	"0.45487"	"0.12203"
"988"	"GO:0051216"	"cartilage development"	240	18	11.78	988	"0.44043"	"0.45569"	"0.30812"
"989"	"GO:0051347"	"positive regulation of transferase activ..."	520	30	25.51	989	"0.42836"	"0.45615"	"0.13784"
"990"	"GO:0035108"	"limb morphogenesis"	244	16	11.97	990	"0.04753"	"0.45908"	"0.06247"
"992"	"GO:0023057"	"negative regulation of signaling"	1468	84	72.03	992	"0.14205"	"0.46015"	"1.00000"
"993"	"GO:0007249"	"I-kappaB kinase/NF-kappaB signaling"	224	11	10.99	993	"0.45917"	"0.46045"	"0.76773"
"994"	"GO:0055006"	"cardiac cell development"	117	8	5.74	994	"0.40061"	"0.46121"	"1.00000"
"995"	"GO:0045471"	"response to ethanol"	266	14	13.05	995	"0.12296"	"0.46163"	"0.71122"
"996"	"GO:2000179"	"positive regulation of neural precursor ..."	100	6	4.91	996	"0.46188"	"0.46188"	"0.36701"
"1002"	"GO:1904062"	"regulation of cation transmembrane trans..."	312	17	15.31	1002	"0.20878"	"0.46473"	"0.89500"
"1003"	"GO:0007259"	"JAK-STAT cascade"	187	12	9.17	1003	"0.27043"	"0.46511"	"1.00000"
"1005"	"GO:0034599"	"cellular response to oxidative stress"	373	21	18.3	1005	"0.08443"	"0.46565"	"0.29254"
"1006"	"GO:0072507"	"divalent inorganic cation homeostasis"	396	20	19.43	1006	"0.28303"	"0.46598"	"0.59565"
"1008"	"GO:0140053"	"mitochondrial gene expression"	176	13	8.64	1008	"0.46759"	"0.46759"	"0.06256"
"1009"	"GO:0048102"	"autophagic cell death"	159	8	7.8	1009	"0.55737"	"0.46793"	"0.53016"
"1010"	"GO:0021953"	"central nervous system neuron differenti..."	297	15	14.57	1010	"0.72549"	"0.46808"	"0.08053"
"1011"	"GO:0032204"	"regulation of telomere maintenance"	101	5	4.96	1011	"0.46808"	"0.46808"	"0.55686"
"1014"	"GO:0001701"	"in utero embryonic development"	544	27	26.69	1014	"0.18476"	"0.46869"	"0.50838"
"1020"	"GO:0045921"	"positive regulation of exocytosis"	121	6	5.94	1020	"0.47094"	"0.47094"	"0.54895"
"1021"	"GO:0050770"	"regulation of axonogenesis"	318	17	15.6	1021	"0.53056"	"0.47113"	"0.90702"
"1026"	"GO:0043549"	"regulation of kinase activity"	719	42	35.28	1026	"0.36576"	"0.47246"	"1.00000"
"1027"	"GO:0007050"	"cell cycle arrest"	169	10	8.29	1027	"0.47293"	"0.47293"	"0.31688"
"1030"	"GO:0072002"	"Malpighian tubule development"	112	11	5.5	1030	"0.47515"	"0.47515"	"0.02124"
"1033"	"GO:0072503"	"cellular divalent inorganic cation homeo..."	363	19	17.81	1033	"0.37420"	"0.47685"	"0.65166"
"1034"	"GO:0048583"	"regulation of response to stimulus"	2984	151	146.41	1034	"0.10883"	"0.47724"	"0.66394"
"1035"	"GO:0061326"	"renal tubule development"	246	15	12.07	1035	"0.28212"	"0.47769"	"1.00000"
"1036"	"GO:0030510"	"regulation of BMP signaling pathway"	178	12	8.73	1036	"0.47782"	"0.47782"	"0.16452"
"1037"	"GO:0021510"	"spinal cord development"	155	8	7.6	1037	"0.47805"	"0.47805"	"0.49361"
"1038"	"GO:0045834"	"positive regulation of lipid metabolic p..."	214	21	10.5	1038	"0.01382"	"0.47813"	"0.04789"
"1040"	"GO:0051588"	"regulation of neurotransmitter transport"	139	9	6.82	1040	"0.82114"	"0.47868"	"0.08304"
"1041"	"GO:0009799"	"specification of symmetry"	264	15	12.95	1041	"0.62061"	"0.47883"	"0.25989"
"1042"	"GO:0030098"	"lymphocyte differentiation"	267	17	13.1	1042	"0.17615"	"0.47952"	"1.00000"
"1045"	"GO:0010941"	"regulation of cell death"	1746	93	85.67	1045	"0.49678"	"0.48117"	"0.03307"
"1047"	"GO:0050880"	"regulation of blood vessel size"	120	8	5.89	1047	"0.66725"	"0.48141"	"1.00000"
"1048"	"GO:0050768"	"negative regulation of neurogenesis"	523	26	25.66	1048	"0.46674"	"0.48164"	"0.87280"
"1049"	"GO:0034220"	"ion transmembrane transport"	724	45	35.52	1049	"0.01766"	"0.48231"	"0.32136"
"1050"	"GO:0032412"	"regulation of ion transmembrane transpor..."	248	14	12.17	1050	"0.17966"	"0.48407"	"0.90005"
"1053"	"GO:0051046"	"regulation of secretion"	790	56	38.76	1053	"0.08538"	"0.48457"	"0.15531"
"1054"	"GO:0043086"	"negative regulation of catalytic activit..."	648	37	31.79	1054	"0.57799"	"0.48472"	"0.89208"
"1055"	"GO:0045184"	"establishment of protein localization"	2056	109	100.88	1055	"0.55923"	"0.48478"	"0.21872"
"1056"	"GO:0022405"	"hair cycle process"	173	9	8.49	1056	"0.08117"	"0.48499"	"1.00000"
"1057"	"GO:0000910"	"cytokinesis"	390	20	19.13	1057	"0.90708"	"0.48552"	"0.74889"
"1058"	"GO:0051223"	"regulation of protein transport"	932	54	45.73	1058	"0.32874"	"0.48636"	"1.00000"
"1060"	"GO:0032269"	"negative regulation of cellular protein ..."	1036	51	50.83	1060	"0.29574"	"0.48722"	"0.42546"
"1061"	"GO:0007015"	"actin filament organization"	498	26	24.43	1061	"0.12347"	"0.48752"	"0.36226"
"1064"	"GO:0002168"	"instar larval development"	132	10	6.48	1064	"0.48810"	"0.48810"	"0.11355"
"1065"	"GO:0001936"	"regulation of endothelial cell prolifera..."	106	7	5.2	1065	"0.48866"	"0.48866"	"0.26381"
"1067"	"GO:0002027"	"regulation of heart rate"	122	7	5.99	1067	"0.49187"	"0.49187"	"0.39125"
"1068"	"GO:0015698"	"inorganic anion transport"	114	8	5.59	1068	"0.49252"	"0.49252"	"0.19642"
"1071"	"GO:0042327"	"positive regulation of phosphorylation"	853	49	41.85	1071	"0.19378"	"0.49487"	"0.31774"
"1076"	"GO:0030516"	"regulation of axon extension"	214	13	10.5	1076	"0.49872"	"0.49872"	"0.25204"
"1082"	"GO:0018958"	"phenol-containing compound metabolic pro..."	237	20	11.63	1082	"0.40821"	"0.50234"	"0.21177"
"1085"	"GO:0010594"	"regulation of endothelial cell migration"	142	8	6.97	1085	"0.50415"	"0.50415"	"0.39612"
"1086"	"GO:0014812"	"muscle cell migration"	120	7	5.89	1086	"0.51271"	"0.50617"	"0.06373"
"1089"	"GO:0019725"	"cellular homeostasis"	954	52	46.81	1089	"0.58855"	"0.50759"	"0.36282"
"1091"	"GO:0097191"	"extrinsic apoptotic signaling pathway"	208	12	10.21	1091	"0.35968"	"0.50840"	"1.00000"
"1092"	"GO:0002521"	"leukocyte differentiation"	426	21	20.9	1092	"0.20388"	"0.50925"	"1.00000"
"1095"	"GO:0030073"	"insulin secretion"	239	20	11.73	1095	"0.12514"	"0.51003"	"0.14338"
"1096"	"GO:0031399"	"regulation of protein modification proce..."	1575	87	77.28	1096	"0.38172"	"0.51216"	"0.15962"
"1100"	"GO:0043405"	"regulation of MAP kinase activity"	277	16	13.59	1100	"0.48712"	"0.51322"	"0.35353"
"1101"	"GO:0009749"	"response to glucose"	203	13	9.96	1101	"0.52965"	"0.51374"	"0.92898"
"1102"	"GO:0010033"	"response to organic substance"	2471	151	121.24	1102	"0.46878"	"0.51389"	"0.28877"
"1104"	"GO:0007600"	"sensory perception"	1708	92	83.8	1104	"0.85552"	"0.51500"	"1.00000"
"1105"	"GO:0051336"	"regulation of hydrolase activity"	969	60	47.54	1105	"0.03929"	"0.51554"	"0.37029"
"1110"	"GO:0032388"	"positive regulation of intracellular tra..."	489	25	23.99	1110	"0.31413"	"0.51939"	"0.86774"
"1111"	"GO:0001775"	"cell activation"	662	36	32.48	1111	"0.56098"	"0.51965"	"1.00000"
"1115"	"GO:0051100"	"negative regulation of binding"	217	11	10.65	1115	"0.60262"	"0.52083"	"0.36854"
"1116"	"GO:0032870"	"cellular response to hormone stimulus"	593	34	29.09	1116	"0.69741"	"0.52098"	"0.19405"
"1117"	"GO:0046390"	"ribose phosphate biosynthetic process"	258	13	12.66	1117	"0.41471"	"0.52102"	"1.00000"
"1119"	"GO:0055074"	"calcium ion homeostasis"	357	18	17.52	1119	"0.29923"	"0.52230"	"1.00000"
"1120"	"GO:0043903"	"regulation of symbiosis, encompassing mu..."	238	15	11.68	1120	"0.34493"	"0.52240"	"0.04581"
"1122"	"GO:1901700"	"response to oxygen-containing compound"	1548	93	75.95	1122	"0.03499"	"0.52277"	"0.04172"
"1123"	"GO:0050806"	"positive regulation of synaptic transmis..."	225	14	11.04	1123	"0.52278"	"0.52278"	"0.21525"
"1128"	"GO:0002443"	"leukocyte mediated immunity"	220	11	10.79	1128	"0.06260"	"0.52490"	"0.45414"
"1131"	"GO:1903531"	"negative regulation of secretion by cell"	228	14	11.19	1131	"0.44702"	"0.52659"	"0.69705"
"1132"	"GO:0051247"	"positive regulation of protein metabolic..."	1485	78	72.86	1132	"0.82767"	"0.52663"	"0.10342"
"1133"	"GO:0032102"	"negative regulation of response to exter..."	343	20	16.83	1133	"0.46517"	"0.52673"	"0.44203"
"1138"	"GO:0048644"	"muscle organ morphogenesis"	153	10	7.51	1138	"0.64262"	"0.53017"	"0.31094"
"1140"	"GO:0034101"	"erythrocyte homeostasis"	162	10	7.95	1140	"0.78526"	"0.53168"	"0.52858"
"1141"	"GO:0001756"	"somitogenesis"	126	7	6.18	1141	"0.53251"	"0.53251"	"0.42378"
"1142"	"GO:0034097"	"response to cytokine"	445	22	21.83	1142	"0.07473"	"0.53280"	"1.00000"
"1143"	"GO:0003015"	"heart process"	305	16	14.96	1143	"0.45065"	"0.53309"	"0.31238"
"1146"	"GO:0002376"	"immune system process"	1894	105	92.93	1146	"0.69090"	"0.53405"	"0.42539"
"1147"	"GO:0001764"	"neuron migration"	295	17	14.47	1147	"0.53424"	"0.53424"	"0.28028"
"1148"	"GO:1901606"	"alpha-amino acid catabolic process"	104	7	5.1	1148	"0.53442"	"0.53442"	"0.24868"
"1149"	"GO:0072521"	"purine-containing compound metabolic pro..."	614	32	30.13	1149	"0.10192"	"0.53462"	"0.07341"
"1151"	"GO:0046394"	"carboxylic acid biosynthetic process"	339	28	16.63	1151	"0.44280"	"0.53592"	"0.33756"
"1154"	"GO:0050867"	"positive regulation of cell activation"	191	16	9.37	1154	"0.08232"	"0.53631"	"0.19787"
"1155"	"GO:0014902"	"myotube differentiation"	214	15	10.5	1155	"0.17353"	"0.53674"	"0.12547"
"1156"	"GO:0030282"	"bone mineralization"	111	9	5.45	1156	"0.53730"	"0.53730"	"0.09445"
"1157"	"GO:0046330"	"positive regulation of JNK cascade"	116	7	5.69	1157	"0.53733"	"0.53733"	"0.34259"
"1158"	"GO:0003014"	"renal system process"	156	8	7.65	1158	"0.53919"	"0.53919"	"0.50097"
"1159"	"GO:1903321"	"negative regulation of protein modificat..."	127	8	6.23	1159	"0.24851"	"0.53921"	"0.57377"
"1160"	"GO:0002252"	"immune effector process"	592	32	29.05	1160	"0.31217"	"0.54002"	"0.35893"
"1161"	"GO:0007167"	"enzyme linked receptor protein signaling..."	1019	60	50	1161	"0.93143"	"0.54163"	"0.13694"
"1162"	"GO:0051250"	"negative regulation of lymphocyte activa..."	111	6	5.45	1162	"0.54300"	"0.54300"	"0.46418"
"1163"	"GO:0042386"	"hemocyte differentiation"	101	7	4.96	1163	"0.54399"	"0.54399"	"0.22652"
"1164"	"GO:0042306"	"regulation of protein import into nucleu..."	276	17	13.54	1164	"0.06708"	"0.54451"	"0.55326"
"1166"	"GO:1902533"	"positive regulation of intracellular sig..."	884	47	43.37	1166	"0.52616"	"0.54573"	"0.29025"
